p_id,p_name,address,note,is_deleted
1,活大一樓大廳,羅斯福路四段一號 新生大樓,近椰林大道，室內等候方便,False
2,心輔中心前廣場,羅斯福路四段一號 心理系館,陰涼處，好認,False
3,理圖入口前,羅斯福路四段一號 理學院圖書館,人潮多、安全明亮,False
4,社科院中庭,羅斯福路四段一號 社會科學院,近星巴克側門,False
5,管理學院一號館門口,羅斯福路四段一號 管一,上課動線常經過,False
6,新體育館入口,羅斯福路四段一號 新體育館,雨天不淋雨,False
7,醉月湖旁長廊,羅斯福路四段一號 醉月湖區,風景佳，有鴨子,False
8,資訊工程系館一樓,羅斯福路四段一號 資工系館,近側門電梯,False
9,地質系館一樓交誼廳,羅斯福路四段一號 地質系館,座位多，可短暫放物,False
10,研三一樓自習區外,羅斯福路四段一號 研三宿舍,學生宿舍區域,False
11,公館捷運站 2 號出口前,臺北市中正區羅斯福路四段 222 號,人潮多、好找,False
12,公館水源市場門口,臺北市中正區羅斯福路四段 92 號,靠近巷口，明顯,False
13,公館誠品前廣場,臺北市中正區汀州路三段 131 號,地標明顯,False
14,師大夜市入口（8巷口）,臺北市大安區師大路 49 巷口,近捷運台電站,False
15,118 巷全家外,臺北市大安區新生南路三段 118 巷 5 號,靠近宿舍，安全明亮,False
